tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	img_url_asset
tt0985040	tvSeries	CBS Schoolbreak Special	CBS Schoolbreak Special	0	1984	1996	\N	Adventure,Comedy,Drama	https://image.tmdb.org/t/p/{width_variable}/7muGNVtbHL9L83MwtcOWq6ebKiQ.jpg
tt1049304	tvSeries	Screenplay	Screenplay	0	1986	1993	\N	Drama	https://image.tmdb.org/t/p/{width_variable}/bcegph0ViAJWlI4zau3UBYq650C.jpg
tt1226281	tvSeries	Schulz & Schulz	Schulz & Schulz	0	1989	1993	\N	\N
tt12606372	tvSeries	Detective Extralarge	Detective Extralarge	0	1991	1993	\N	Comedy,Crime	https://image.tmdb.org/t/p/{width_variable}/jA8aVqCVOb85n7WtjU6WII0sn08.jpg
tt13031912	tvMiniSeries	Fantaghirò: Cave of the Golden Rose	Fantaghirò	0	1991	1996	\N	Adventure,Fantasy	https://image.tmdb.org/t/p/{width_variable}/dVNloL6eQx0Fv4KeXsSRb6GyZiZ.jpg
tt1342141	tvSeries	Kommissar Klefisch	Kommissar Klefisch	0	1990	1996	90	Crime
tt15175450	tvSeries	Mrs. Harris	Mrs. Harris	0	1982	1991	89	Comedy,Crime
tt1601983	tvSeries	The Play on One	The Play on One	0	1988	1991	\N	Drama	https://image.tmdb.org/t/p/{width_variable}/wiElx6JxHiZXb5wg3RiwC1BeaaU.jpg
tt1615489	tvSeries	4 Play	4 Play	0	1989	1991	\N	Drama
tt1634348	tvSeries	Arbeitersaga	Arbeitersaga	0	1988	\N	\N	Drama	https://image.tmdb.org/t/p/{width_variable}/2GyyGi7CdikL4pr3jPfmjFmowCw.jpg
tt1685403	tvSeries	He-Play	He-Play	0	1990	1992	11	Drama,Short
tt3687174	tvSeries	Different Drummer	Different Drummer	0	1989	1991	30	Documentary
tt3782882	tvSeries	Cycle Simenon	Cycle Simenon	0	1989	\N	\N	\N
