nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0089777	Hans-Christoph Blumenberg	1947	\N	director,writer,actor	tt1179082,tt0112474,tt0260853,tt0295522	https://image.tmdb.org/t/p/{width_variable}/oXrGIEbWvmqMpRS1WH6zD5UEtmF.jpg
nm0090335	Kurt Bobek	\N	\N	cinematographer,writer,camera_department	tt0121027,tt0078554,tt0092953,tt0463307	\N
nm0090609	Celia Williams	\N	\N	actress	tt4177670,tt2070125,tt1247637,tt0110788	https://image.tmdb.org/t/p/{width_variable}/wcyWRLxW5tOHQHWeXQQbE2A7Syw.jpg
nm0091250	Todd Boekelheide	\N	\N	composer,sound_department,music_department	tt0086879,tt0102015,tt0137523,tt4126312	\N
nm0091430	Budd Boetticher	1916	2001	director,writer,assistant_director	tt0096244,tt0043363,tt0048331,tt0065134	https://image.tmdb.org/t/p/{width_variable}/6TiG3ItMvehkprMTdIDvWZD7jZv.jpg
nm0091873	Yanina Bogolepova	\N	\N	editor	tt0066442,tt0128880,tt0086142,tt0129279	\N
nm0091904	Larisa Bogoslavskaya	\N	\N	actress	tt0097849	\N
nm0092044	Dieter Bohlen	1954	\N	composer,soundtrack,actor	tt0096690,tt0135790,tt0421051,tt0362339	https://image.tmdb.org/t/p/{width_variable}/cbPXql29lDirJQZsqqXYrL6kFq1.jpg
nm0092267	Pierre Boileau	1906	1989	writer	tt0046911,tt0052357,tt0053459,tt0050655	https://image.tmdb.org/t/p/{width_variable}/F6rq2v1RjgenMjNiX0zQeG5RhD.jpg
nm0092268	Thomas Narcejac	1908	1998	writer	tt0052357,tt0050655,tt0046911,tt0053459	https://image.tmdb.org/t/p/{width_variable}/hIAgDXMOuBN9OPGT8SgAtWpBGHH.jpg
nm0092290	Curt Bois	1901	1991	actor,soundtrack,director	tt0042474,tt0034583,tt0093191,tt0048162	https://image.tmdb.org/t/p/{width_variable}/4LeEAQ539JgoRcqX4Er0fGOwoZg.jpg
nm0092372	Yves Boisset	1939	\N	director,writer,assistant_director	tt0071449,tt0068233,tt0082342,tt0076242	https://image.tmdb.org/t/p/{width_variable}/osH9Ke1vL3vQ0ibNBbYvIcZTAE6.jpg
nm0092380	Claude Boissol	1920	2016	director,writer,assistant_director	tt0318355,tt0159042,tt0165570,tt0167600	\N
nm0092485	Agnieszka Bojanowska	1932	2019	editor,editorial_department,producer	tt0093547,tt0093362,tt0091389,tt0080821	\N
nm0092555	K.C. Bokadia	\N	\N	director,writer,producer	tt11262002,tt0172704,tt1920986,tt0251346	\N
nm0093111	Emilio Bolles	\N	\N	producer	tt0135740,tt0189841,tt0203869,tt0087088	\N
nm0093202	Monika Bolly	1968	\N	actress	tt0105522,tt0100999,tt7756986,tt0441074	https://image.tmdb.org/t/p/{width_variable}/9eGCqhK60k9kTG0NM7sRXFujDOT.jpg
nm0093271	Craig Bolotin	1954	\N	writer,director,producer	tt0096933,tt2726560,tt0086759,tt0096035	\N
nm0093361	Heinrich Bolten-Baeckers	1871	1938	producer,director,writer	tt3894936,tt7489836,tt0356802,tt4723266	\N
nm0093605	Lucio Bompani	\N	\N	production_manager,producer,miscellaneous	tt0077864,tt0095975,tt0062940,tt0063482	\N
nm0093606	Barthélémy Bompard	\N	\N	actor,director,writer	tt0341331,tt0098986,tt2979006,tt0241890	\N
nm0094088	Boris Bondarenko	1940	\N	cinematographer,camera_department	tt0168111,tt5159420,tt0089721,tt0085723	\N
nm0094620	Héctor Bonilla	1939	2022	actor,director,writer	tt0295450,tt0076374,tt0098214,tt0070387	https://image.tmdb.org/t/p/{width_variable}/hJLMHwbFgh25yvSw0IgqQAC2Nco.jpg
nm0094625	Jesús Bonilla	1955	\N	actor,director,writer	tt0119974,tt0124958,tt0357991,tt0362372	https://image.tmdb.org/t/p/{width_variable}/sRbDlpCYqMVaw73bvTraBb5VtTS.jpg
nm0094663	Claude Bonin	\N	\N	producer,writer,production_manager	tt0106931,tt0090648,tt0091785,tt0264557	\N
nm0094730	Claudio Bonivento	1950	\N	producer,director,writer	tt0097870,tt5746178,tt0108059,tt1517805	https://image.tmdb.org/t/p/{width_variable}/v3f5U5AuXDB4oG8RSs8BJxk5SVw.jpg
nm0094986	Stéphane Bonnet	\N	\N	actor	tt0100866,tt1064976,tt0100428,tt0099283	https://image.tmdb.org/t/p/{width_variable}/4Liq3zQjOrzqDxq0rkALpXgeCT3.jpg
nm0095755	Marlene Booth	1948	\N	producer,director	tt0185026,tt1542028,tt0089043,tt2498308	\N
nm0095793	Robert Brodie Booth	\N	\N	writer,actor,miscellaneous	tt0198286,tt0093496,tt0100300,tt0139064	\N
nm0095966	Arianne Borbach	1962	\N	actress,miscellaneous	tt0174870,tt0376966,tt0497289,tt0371376	https://image.tmdb.org/t/p/{width_variable}/x5U7Pve033SXQF5uL1xjmm9SDrE.jpg
nm0096149	Michael Sweney	\N	\N	assistant_director,location_management,miscellaneous	tt0099004,tt0176357,tt0081398,tt0086465	\N
nm0096501	Nelly Borgeaud	1931	2004	actress,soundtrack	tt0078338,tt0076155,tt0098534,tt0064990	https://image.tmdb.org/t/p/{width_variable}/kRp5lZ4yulhLGNxFVQecUYhJSLN.jpg
nm0096509	Peter Borgelt	1927	1994	actor	tt0806901,tt0123884,tt0125365,tt0806910	https://image.tmdb.org/t/p/{width_variable}/5iIKfF1qInBugqZcIR1K75SNIeN.jpg
nm0096774	Marcel Bories	\N	\N	actor	tt0097884	\N
nm0096844	Lev Borisov	1933	2011	actor	tt0350475,tt0052600,tt0075468,tt0051175	https://image.tmdb.org/t/p/{width_variable}/gloKCPpeIAjwr8g9HZDE5RY477X.jpg
nm0096947	Jacek Borkowski	1959	\N	actor,soundtrack	tt1070703,tt0084549,tt0262975,tt0093547	https://image.tmdb.org/t/p/{width_variable}/j7l8uWLLqf3U94IWh91CCRe86F2.jpg
nm0097180	Aleksandr Borodyanskiy	1944	\N	writer,actor,director	tt2318405,tt0148059,tt0262329,tt0108172	https://image.tmdb.org/t/p/{width_variable}/je8V23RYOrtRpgioUdOUAQN6qoc.jpg
nm0097427	Ricard Borràs	\N	\N	actor	tt0338623,tt0297174,tt0231040,tt4494774	https://image.tmdb.org/t/p/{width_variable}/2c6z7IC6zRLoNR2cToFQ18E1Sbb.jpg
nm0097451	Helga Borsche	1939	\N	editor,director,editorial_department	tt0099445,tt0077479,tt0102282,tt0090996	\N
nm0097454	Margret Borsche	\N	\N	editor	tt0889258,tt0251519,tt0094661,tt0126743	\N
nm0097541	Vladimir Bortko	1946	\N	director,writer,producer	tt0366028,tt3152000,tt0137432,tt0403783	https://image.tmdb.org/t/p/{width_variable}/h1U1tajFjGyPSJRK5imXlKU0mnt.jpg
nm0097721	Birgitt Bosboom	\N	\N	editor	tt0094524,tt0112239,tt0806910,tt0464005	\N
nm0098327	Andy Boswell	\N	\N	actor,art_department,special_effects	tt1885235,tt1456964,tt1217259,tt2017109	\N
nm0098390	Oldrich Bosák	1922	1996	production_designer,art_director,art_department	tt0124888,tt0067464,tt0060802,tt0070832	\N
nm0098456	Juan Botella	1961	\N	art_director,production_designer,set_decorator	tt0103791,tt0115949,tt0962709,tt0293191	\N
nm0098709	Juan Diego Botto	1975	\N	actor,director,writer	tt0115850,tt6334354,tt12306964,tt0103594	https://image.tmdb.org/t/p/{width_variable}/bW4Tfc5XOq0DzElgJrkepHGzoOg.jpg
nm0098918	Michel Bouchard	\N	\N	art_department,writer,director	tt0253353,tt0269968,tt0227445,tt0269951	\N
nm0099276	Férid Boughedir	1944	\N	director,writer,actor	tt0114775,tt0302385,tt4153052,tt0090665	https://image.tmdb.org/t/p/{width_variable}/53hqwxWDK5WR2cgDe983wNwteDd.jpg
nm0099277	Selim Boughedir	\N	\N	actor	tt0090665	https://image.tmdb.org/t/p/{width_variable}/rKTA1pltcjk5h1PF16AZHYCZrim.jpg
nm0099371	Evelyne Bouix	1953	\N	actress	tt0115638,tt0085477,tt0092130,tt0084340	https://image.tmdb.org/t/p/{width_variable}/jFciG9VgOybIcozhDSHXMD4tIFk.jpg
nm0099384	Michel Boujut	1940	2011	producer,writer,director	tt0097893,tt0341718,tt0071842,tt9074082	\N
